CSD Code 2021,CSD Name 2021,Census Population 2021,Income 2021,Education 2021,Housing 2021,Labour Force Activity 2021,CWB 2021,Community Type 2021
1009020,St. Pauls,202,,,,,64,Non-Indigenous Community
1009021,"Division No.  9, Subd. C",2220,74,41,97,67,70,Non-Indigenous Community
1009022,Port au Choix,742,77,45,97,70,72,Non-Indigenous Community
1009023,Anchor Point,305,81,40,98,54,69,Non-Indigenous Community
1009024,Flower's Cove,272,,,,,73,Non-Indigenous Community
1009026,Bird Cove,175,,,,,73,Non-Indigenous Community
1009028,Main Brook,246,,,,,68,Non-Indigenous Community
1009029,St. Anthony,2180,80,60,98,79,79,Non-Indigenous Community
1009030,Glenburnie-Birchy Head-Shoal Brook,241,,,,,71,Non-Indigenous Community
1009031,"Division No.  9, Subd. D",534,74,41,96,69,70,Non-Indigenous Community
1009032,St. Lunaire-Griquet,603,75,55,97,73,75,Non-Indigenous Community
1009034,Cook's Harbour,118,,,,,70,Non-Indigenous Community
1009035,Raleigh,150,,,,,66,Non-Indigenous Community
1009037,Sally's Cove,15,,,,,,Non-Indigenous Community
1009039,Goose Cove East,172,,,,,73,Non-Indigenous Community
1009041,"Division No.  9, Subd. H",155,,,,,71,Non-Indigenous Community
1009042,Bellburns,52,,,,,,Non-Indigenous Community
1009047,"Division No.  9, Subd. G",96,,,,,,Non-Indigenous Community
1009048,River of Ponds,173,,,,,74,Non-Indigenous Community
1010001,"Division No. 10, Subd. A",55,,,,,,Non-Indigenous Community
1010002,L'Anse au Loup,692,77,43,97,63,70,Non-Indigenous Community
1010003,Red Bay,142,,,,,70,Non-Indigenous Community
1010004,L'Anse-au-Clair,219,,,,,78,Non-Indigenous Community
1010005,Forteau,377,82,47,97,81,77,Non-Indigenous Community
1010006,West St. Modeste,102,,,,,78,Non-Indigenous Community
1010007,Pinware,64,,,,,,Non-Indigenous Community
1010008,"Division No. 10, Subd. B",211,,,,,67,Non-Indigenous Community
1010009,Port Hope Simpson,403,76,47,95,67,71,Non-Indigenous Community
1010010,St. Lewis,181,,,,,73,Non-Indigenous Community
1010011,Mary's Harbour,312,79,43,95,70,72,Non-Indigenous Community
1010012,"Cartwright, Labrador",439,76,48,88,68,70,Non-Indigenous Community
1010013,Charlottetown (Labrador),292,78,49,95,66,72,Non-Indigenous Community
1010020,"Division No. 10, Subd. C",54,,,,,,Non-Indigenous Community
1010022,North West River,560,83,65,95,84,82,Non-Indigenous Community
1010025,Happy Valley-Goose Bay,8040,84,64,96,88,83,Non-Indigenous Community
1010029,"Division No. 10, Subd. D",732,94,72,99,93,89,Non-Indigenous Community
1010032,Labrador City,7412,93,66,96,90,86,Non-Indigenous Community
1010034,Wabush,1964,91,67,97,92,87,Non-Indigenous Community
1010042,"Division No. 10, Subd. E",0,,,,,,Non-Indigenous Community
1010801,Natuashish 2,856,68,34,57,73,58,First Nations Community 
1010802,Sheshatshiu 3,1225,68,42,86,69,66,First Nations Community 
1011005,"Division No. 11, Subd. C",0,,,,,,Inuit Community 
1011010,Rigolet,327,72,51,79,65,66,Inuit Community 
1011015,Postville,188,,,,,72,Inuit Community 
1011020,Makkovik,365,76,52,85,72,71,Inuit Community 
1011030,Hopedale,596,66,45,82,69,66,Inuit Community 
1011035,Nain,847,69,44,80,77,68,Inuit Community 
1011040,"Division No. 11, Subd. E",0,,,,,,Inuit Community 
1101002,Murray Harbour,282,79,59,96,83,79,Non-Indigenous Community
1101003,Murray Harbour,628,76,59,94,86,79,Non-Indigenous Community
1101004,Murray River,337,71,54,92,78,74,Non-Indigenous Community
1101005,"Murray River, Part 1",1422,76,59,94,84,78,Non-Indigenous Community
1101020,Cardigan,125,,,,,79,Non-Indigenous Community
1101025,Central Kings,135,,,,,73,Non-Indigenous Community
1101027,Central Kings,386,70,55,94,87,76,Non-Indigenous Community
1101030,Annandale - Little Pond - Howe Bay,223,,,,,82,Non-Indigenous Community
1101033,Souris West,379,81,72,95,90,85,Non-Indigenous Community
1101035,Souris,1766,78,60,94,89,80,Non-Indigenous Community
1101036,Souris,1079,71,52,98,81,75,Non-Indigenous Community
1101037,St. Peters,686,71,54,86,84,73,Non-Indigenous Community
1101040,Eastern Kings,687,77,57,99,83,79,Non-Indigenous Community
1101043,Morell,1209,75,64,95,84,79,Non-Indigenous Community
1101044,St. Peters Bay,231,,,,,81,Non-Indigenous Community
1101045,Three Rivers,7883,75,61,95,86,79,Non-Indigenous Community
1101048,Morell,269,78,71,97,93,85,Non-Indigenous Community
1101050,Morell 2,25,,,,,,First Nations Community 
1101052,"East River, Part 2",575,73,67,93,87,80,Non-Indigenous Community
1102002,Belfast,1687,73,65,96,85,80,Non-Indigenous Community
1102003,"Murray River, Part 2",346,,,,,82,Non-Indigenous Community
1102005,Montague,74,,,,,82,Non-Indigenous Community
